sample,species,country,state,pair,chemotype,reprod_mode,is_outgroup,region
OMA_608-2_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_608-3_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_609-1_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_609-2_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_610-1_P_hypoleucinum_USA_TX,hypoleucinum,USA,TX,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_TX
OMA_610-2_P_hypoleucinum_USA_TX,hypoleucinum,USA,TX,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_TX
OMA_610-3_P_hypoleucinum_USA_TX,hypoleucinum,USA,TX,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_TX
OMA_611-B-1_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_611-B-2_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_611-B-3_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_611-B-4_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_612_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_613-A-1_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_613-A-2_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_613-A-3_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_613-A-4_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
OMA_614-A-1_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_614-A-2_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_614-A-3_P_preperforatum_USA_TX,preperforatum,USA,TX,preperforatum_hypoleucinum,stictic,sexual,FALSE,USA_TX
OMA_615-A-1_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_615-A-2_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_615-A-3_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
